0,Xx,0
1,H,1.1
2,He,1.4
3,Li,1.81
4,Be,1.53
5,B,1.92
6,C,1.7
7,N,1.55
8,O,1.52
9,F,1.47
10,Ne,1.54
11,Na,2.27
12,Mg,1.73
13,Al,1.84
14,Si,2.1
15,P,1.8
16,S,1.8
17,Cl,1.75
18,Ar,1.88
19,K,2.75
20,Ca,2.31
21,Sc,2.3
22,Ti,2.15
23,V,2.05
24,Cr,2.05
25,Mn,2.05
26,Fe,2.05
27,Co,2
28,Ni,2
29,Cu,2
30,Zn,2.1
31,Ga,1.87
32,Ge,2.11
33,As,1.85
34,Se,1.9
35,Br,1.83
36,Kr,2.02
37,Rb,3.03
38,Sr,2.49
39,Y,2.4
40,Zr,2.3
41,Nb,2.15
42,Mo,2.1
43,Tc,2.05
44,Ru,2.05
45,Rh,2
46,Pd,2.05
47,Ag,2.1
48,Cd,2.2
49,In,2.2
50,Sn,1.93
51,Sb,2.17
52,Te,2.06
53,I,1.98
54,Xe,2.16
55,Cs,3.43
56,Ba,2.68
57,La,2.5
58,Ce,2.48
59,Pr,2.47
60,Nd,2.45
61,Pm,2.43
62,Sm,2.42
63,Eu,2.4
64,Gd,2.38
65,Tb,2.37
66,Dy,2.35
67,Ho,2.33
68,Er,2.32
69,Tm,2.3
70,Yb,2.28
71,Lu,2.27
72,Hf,2.25
73,Ta,2.2
74,W,2.1
75,Re,2.05
76,Os,2
77,Ir,2
78,Pt,2.05
79,Au,2.1
80,Hg,2.05
81,Tl,1.96
82,Pb,2.02
83,Bi,2.07
84,Po,1.97
85,At,2.02
86,Rn,2.2
87,Fr,3.48
88,Ra,2.83
89,Ac,2
90,Th,2.4
91,Pa,2
92,U,2.3
93,Np,2
94,Pu,2
95,Am,2
96,Cm,2
97,Bk,2
98,Cf,2
99,Es,2
100,Fm,2
101,Md,2
102,No,2
103,Lr,2
104,Rf,2
105,Db,2
106,Sg,2
107,Bh,2
108,Hs,2
109,Mt,2
110,Ds,2
111,Rg,2
112,Cn,2
113,Uut,2
114,Uuq,2
115,Uup,2
116,Uuh,2
117,Uuh,2
118,Uuh,2
119,,0
